feature_set,n_features_raw,MAE,RMSE,R2,mean_error
FULL,18,2.9857564629887885,3.962643696583675,0.4870982298104196,-0.7610561169928975
NO_YEAR,17,3.2620634266519977,4.176330064779887,0.43029008381944,-1.4710497125228177
CHEMISTRY_PLUS_DEVICE,17,3.2620634266519977,4.176330064779887,0.43029008381944,-1.4710497125228177
CHEMISTRY_ONLY,14,3.441937885490159,4.38710875373899,0.3713325854581042,-1.5161743585404222
DEVICE_ONLY,3,4.221827172222363,5.167814456873861,0.12767569214501417,-1.8462058540784505
YEAR_ONLY,1,4.337421780425736,5.493892439286175,0.014119096631168615,-0.2096112885214737
