representation,n_raw_features,MAE,RMSE,R2,mean_error,delta_R2_vs_full
FULL_REDUNDANT,18,2.9857564629887885,3.962643696583675,0.4870982298104196,-0.7610561169928975,0.0
FAMILY_CORE,7,2.992802887719732,3.9744428366370617,0.4840392569718308,-0.7060177799285032,-0.0030589728385888026
FLAGS_CORE,15,2.9914623498949995,3.9834625063746203,0.4816947390640838,-0.7385279568864123,-0.005403490746335837
FAMILY_CORE_NO_YEAR,6,3.268971034275335,4.182965890456063,0.42847820637168266,-1.4289123115599895,-0.05862002343873696
